Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
179670301608,amasawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
194402659685,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,482026,1249133,1265509,1267470
233721553867,Rat,501543,1321231,2324543,3399247,4581057,6085810,6465331,7658445,8357229,8771632,8776363,8776363,9252498,9743607,10436331,11316403,11797392,11802868,12363951,13007973,13768449,14383080,15042108,15831450,16172631,16783800,17126976,17531795,18462111,19370379,19881787
239268798292,RuRukki,,,,145236,148014,148014,550786,1147101,1531552,1536924,3355185,3381371,3381371,3385004,3385063,3385063,3385063,4616166,4628032,4628032,4628032,4628032,4628032,4628032,4628032,4628032,,,,,
278161596958,Hikari,7965,222008,230355,230355,230355,389472,395066,607186,886160,1122066,1124778,1124778,1127508,1388188,1651853,1872387,1881046,2139658,2142151,2142151,2680151,2686741,2964617,2973399,2973399,2973399,3085166,3390992,3394675,3935696,3943749
280458286871,Vivi,87219,144710,146916,146916,146916,146916,146916,146916,146916,146916,146916,146916,146916,,,,,,,,,,,,,,,,,,
286493463030,Kibs,12001,12129,12129,270659,918613,1435561,1451200,1451306,1451306,1692069,1694884,2273753,2300059,2726141,3533870,3970273,4321986,4934135,5602589,6251083,6639366,6643009,7673887,7706468,7969173,8156299,8159373,8159387,8163991,8164043,8685726
296917936628,Ghost of Kyoto,,,,,45569,363085,554778,1262936,1963725,2576346,2626239,3052637,3291207,4213768,4799660,4946226,4961359,5010935,5025210,5391985,5397010,5397022,5955343,6481851,6660333,6668739,6874764,6892657,7319307,7342272,7737335
347395922246,Asaba Harumasa,0,318470,330889,338712,338864,338864,338864,338864,338864,438734,692168,695801,989338,994092,994092,994092,994092,994092,994092,994092,994092,1211483,1213577,1434132,1436740,1436740,1436740,2362266,2373458,2373458,2632898
372915911184,thiago ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168088,170087
