Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28
120646083772,Sundance,231959,245000,247398,247432,247432,247432,247432,249376,249387,249387,249387,477355,481441,481453,481453,481453,481453,491296,491384,491384,491384,491384,1261709,1268537,1268537,1268537,1268537,1268537
149791828482,Zaphkael,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194402659685,Engineer,0,9040,9109,9109,9109,9109,9109,9109,9109,11772,11814,11814,11814,487230,489461,494347,496743,935781,939690,939690,939690,939690,939690,939690,939690,939690,939690,939690
228943440872,Bug,268325,721762,922277,1167270,1187352,1866545,2398898,3243465,3248106,3259906,3739147,4261723,4266197,4266197,4276120,4276169,4276169,4602346,4964324,4978002,4978070,4989172,5748406,6556866,6574881,6752492,6921670,8286253
233721553867,Rat,770588,1256447,1565830,1988194,2003511,2417106,2421284,3091131,3096984,3347518,3821526,3833035,4172337,4662716,5182571,5195815,5195913,5453176,5455466,5670519,6221162,6533341,6543729,6543789,6850683,7157386,7491851,8672512
278161596958,Hikari,241861,552413,909805,1192969,1801561,2336103,3074993,3080258,3082409,3285736,3291059,3699653,3914341,4332272,4340128,4587040,4892626,4894713,4904742,5507786,5900950,5913020,5913143,5915084,5915099,5915099,5915099,6499411
290944796207,Ulito4ka,,,,,0,0,311406,312858,312858,312858,312858,835808,,,,,,,,,,,,,,,,
398008159336,WarJames,0,0,276233,289225,573920,593683,593741,595344,705248,715036,724279,733644,758029,765126,765159,1019229,1021565,1032063,1116492,1362031,1372550,1372583,1372583,1381109,1676591,1678014,1688753,1688815
414875850648,Sol Goodman,0,0,0,0,0,0,499523,1435221,1440365,1440365,1440365,1440367,1440367,1440367,1442741,1444492,1444508,1449095,1449136,1449136,1449136,1449136,1449136,1449136,1963923,1966403,2950100,2955805
419504560762,Kimberly,,48306,59902,60068,60068,60068,60068,60068,60068,60068,60068,60068,60068,60068,,,,,,,,,,,,,,
442527787114,goober,,,,868134,1555155,2135872,2413616,2580962,2951002,3314460,4217569,4739106,5299404,5838380,6410093,7557839,8128089,8657977,10049573,10371357,10736251,11084307,11751205,12112737,12831153,13353459,13889031,14239996
472215315233,Jiggleur,,,,,,,,,,,,,,,,,,,2061372,2772698,3206072,3881401,4207688,4581289,4718108,4719839,5048939,5570347
474695464075,Vorpal,17152,328723,333045,358364,682644,1299178,2115003,2539950,4111096,4129385,4328825,4817883,5294063,5758633,5794932,6505775,6534490,6831449,6976124,7892081,8556644,9240699,9623093,9626413,10003035,10977045,11468606,12209419
508062102380,iSnnak,,,,708613,1115911,1926492,2218969,2520077,2523344,2523360,2807311,2816312,3091966,3661760,3929306,4158149,4384639,4386183,5177303,5356765,5357748,5516695,5518529,5703772,5707200,5906761,5907730,5907730
523906026613,Kiwi,,,,,,,,,,,,,,,,,0,0,380364,1602914,1609733,1609733,1902610,1905206,1905206,1905206,2385808,3488973
534505179814,Ozu,4666,16906,28823,28998,40346,45359,50108,970439,1648390,1657614,1659808,1673750,1673871,2049710,3550717,3558129,4218459,4945253,4951682,4953799,5863878,6697808,6720020,7031558,7057730,7471741,7485671,8162959
538892445749,Monmon,322485,1228021,2426348,3051400,3479233,4269940,5508824,6764259,7294509,8306551,9001061,9376973,9667317,10401330,11542495,12262332,13797337,14554351,16471290,18761141,19832441,20614020,21712738,22493265,23481388,24436768,24633023,25084094
608904768515,AdeptManuel ,,,,,,,,,,,,,,,,,,,,,,,,,,,807972,1782746
