Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
136715048804,Yuki,294002,596427,937854,948874,1818982,2455548,2914761,3600402,4054890,4789055,5262552,5985046,6369895,6370873,6885152,7093880,7322468,7635046,8274949,8279807,8283031,8619079,8926322,8927199,9264680,9275635,10102766,10104545,10360600,10579448
228943440872,Bug,9245,703524,716585,716613,716613,716613,716613,1386098,1388057,1388057,1399163,1399186,2258283,2260478,2272511,2868983,2883444,2883478,2896427,3435904,3436802,3454386,3454434,3467658,3480134,3925619,3926319,3939081,3951410,3964453
233721553867,Rat,798525,1645848,3213263,4670605,5600303,6194411,7587431,9056609,9708174,11233469,12757435,13487938,14252527,14267923,15047805,15773536,15775618,16463934,18074400,18081429,18907278,20341182,21097827,21779658,22501444,23910444,24602268,25359068,25369387,26182765
245445038119,Gao,,,227641,841948,2464531,3261162,4606933,5759057,6902959,9259541,10821079,11195537,12045059,13326082,14879250,15340140,16563003,19128220,20889011,22894604,24126464,24650818,25862876,27226541,29760718,32240629,34220322,35510698,36278280,37097264
249277876784,Shiro,,,,,,,,,,2376029,6906610,8420794,9156527,9866934,11340390,11976703,12637427,12641516,12643632,13549391,13737728,13931685,14941802,15692877,16569901,17945141,19016374,20510707,21281839,21948815
257094297053,JooaoO,,,661112,2906511,6089654,8458335,9343618,11009482,13006395,15729713,19545754,22205219,24463378,24469128,28851593,32863797,36553896,40266030,45227723,47170461,49367764,51621203,53267674,55464486,57797828,59990027,60634020,60646619,62831335,65203258
278161596958,Hikari,0,1548415,2028342,2029522,2495013,3056359,3543586,4497680,5426698,5428603,6691892,6708766,7462468,8369242,8874534,8875948,10279433,11270502,12552668,13132176,13442723,13729884,13730658,13950368,14300457,14301084,14301084,14301084,14301084,14301084
284438175655,毛利 小五郎,,596391,873989,874676,1764589,1767282,2701749,3624284,3626978,,,,,,,,,,,,,,,,,,,,,
314322237498,Khanosile,1424297,3269873,3274142,3274142,3274143,4245260,4247595,4248998,4249002,4249002,4249002,4249002,,,,,,,,,,,,,,,,,,
414875850648,Sol Goodman,1664563,1669921,1687971,1688016,1688016,1688016,1688016,4168905,4992795,4994475,5864605,5866422,5866422,5866422,5869098,5871326,5874280,5874288,5874288,5876787,5876791,5876791,5876791,5876791,5876791,5876791,5876791,5876791,5876791,5876791
433056643903,Smiles,,,,322719,352486,352486,803062,1358725,2983929,2987268,3419958,3420862,3420862,3420862,3420862,3420862,3930602,,,,,,,,,,,,,
442527787114,goober,627425,1238632,1962093,2791913,3594305,5582302,7227669,8130215,9530646,10151534,10795104,11496580,12304414,12974781,13390226,14026849,14796117,15437894,16197840,16859047,17656951,18451674,19928004,20584614,21376260,22069389,22779862,24230563,25103612,25750082
471898866778,Mewni,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474695464075,Vorpal,1775141,5269487,6917127,9720036,10004800,12696158,13623626,16814726,18349897,20483958,24328195,25105511,26804286,27658270,28328485,29116898,29959779,30797740,33796392,35259184,36773685,39763517,39799446,40578041,42348128,42373812,43221661,45732022,45762926,47325137
534505179814,Ozu,811313,814601,820467,1593500,1667931,1667940,1670832,2481302,4393939,4403956,5275271,6465652,7088647,7093221,7115209,7723905,8300772,11264498,11271610,11271610,11278086,11281245,12533482,13954528,13957446,13987710,13987758,14669465,15562932,16265962
538892445749,Monmon,1736328,4269468,5443128,6900367,9013449,10663282,12384748,14203594,14208905,16026217,16981839,17868252,19404685,23449706,24844069,26968427,29383669,30200247,32842307,34651772,35517206,37957423,38774371,40360193,41168301,42075017,42831360,45343805,46056538,47710317
576482250427,Afterburner,,,,,,,,,,,,,,,,190199,,,,,,,,,,,,,,
612856830731,Koeru,1345279,3700664,6681320,9599001,9867847,11186531,13563492,16073678,18342639,20916460,24076908,27833040,28658307,31076648,32721147,33705835,36139737,39344806,41564479,43176699,46601896,49639598,53043084,56921242,56929205,58614056,59417919,60316952,61169699,62803503
641577749927,Dreadsoul,615955,1534963,2528232,3800449,4778556,6375799,8241043,10055020,10062973,10842000,12627526,14450671,17056335,17696998,17698800,19529673,20428021,21310103,22253908,23268474,23278681,24140317,25131187,25134016,26026735,26950636,27741149,29476916,30320569,31228709
649186210706,zibai,559067,2131276,4251047,6928283,9309099,12382942,14977533,14995359,15870485,16618119,16620118,17564084,17585555,18345626,21209832,23210928,25560860,29816332,30670835,32450058,35232897,36174634,37861786,38474210,39932958,42106628,43057383,43748408,44296509,45136586
660216317491,Bingus,,,472876,738274,833664,836595,1221101,1618718,2369734,2383580,2393915,2728612,3889548,5478235,5980597,7737832,10027425,10035965,10736341,11709434,14081455,14091070,14891448,15785393,16587103,16591144,16971268,18093274,18108435,19239607
668100102970,Syper,,,,,,,,,,,,,,,,,,582962,1477579,2336124,2337549,2337549,2337549,2337549,3020386,3584738,4426639,4428448,4428448,4428448
705081600362,DaJuicyKEBAB,1314887,2020236,3543416,5538274,7263760,8713834,10833555,11603341,12226190,15149666,18046682,18055398,19657204,22626671,23489918,26283886,29318926,32008719,35684722,38704034,42697697,45527797,47542105,48823736,50350023,52818564,53963219,55707537,58224436,60171357
708085500369,Kieren,526357,1180650,1642134,2036231,2842729,4561903,5164446,5657169,6396401,6892762,7746181,8267839,8916096,9705163,10534741,11334863,12103152,13711190,14247042,15083678,15944120,16493336,17231429,17955550,18676260,19389205,20065974,20584773,21063895,21067380
709756565045,Night＿suki,261356,262197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
