Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
179670301608,amasawa,341407,1088167,1872862,1910768,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957,1910957
233721553867,Rat,,,,,,,,142482,149350,749831,1330283,1634889,1646616,2265030,3002057,3271959,3834169,4554605,4995237,5053430,5272330,6237229,6305652,6978127,7469884,8554613,8616280,8616280,9064388,9907156
278161596958,Hikari,1863,264105,285706,285706,837010,868652,868715,868715,871022,910272,1104960,1107786,1272864,1365621,1366957,1622034,1981744,2018443,2129984,2555965,2606136,2910142,3602399,3787351,4700944,5353789,5599085,5840212,6039675,6517435
280458286871,Vivi,,,,,,,,,,,,,,,,,,,43804,46296,46296,153940,201821,202555,202555,202555,202555,364785,378341,379117
286493463030,Kibs,395202,868754,1922563,2490944,2570499,3078778,3294462,3644205,3665828,3699898,4130868,4328558,4553234,4557473,4564912,4575560,4799511,4813492,5166288,5192401,5537872,5691047,5943224,6194943,6476297,7521889,8098071,8112300,8368906,8387100
331511647964,fzwish,,,,,295155,310772,589299,626626,1640738,1703347,1778739,1779837,1779837,1779837,1779837,1779837,1779837,1779837,1779837,1779837,1779837,1787445,2711872,,,,,,,
347395922246,Asaba Harumasa,662206,1051785,1074930,1703214,1736646,1736646,1736646,1736646,1736646,1736646,1743130,1963512,2270598,2276423,2276423,2276423,2276423,2276423,2769610,3089235,3124089,3124089,3124089,3631103,3636742,3636742,3636742,3636742,3636742,3636742
388838472199,reroll2,,,,,755525,,,,,,,,,,,,,,,,,,,,,,,,,
398008159336,WarJames,233286,489917,511776,608724,851189,864303,985358,1168020,1199445,1469189,1694364,1697584,1704039,1704165,1704165,1997696,2035250,2042989,2212364,2230792,2311414,2589322,2830891,3041613,3208308,3222761,3477529,3509906,3623430,3638675
416738339317,og varoscotchs,10933,213026,229543,270171,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333,272333
451914032406,Dokutah,0,640293,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,693096,2820338,3222181,3226270,3623124,3645846,3645846,3645846,3645846
525182983433,Remy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61361,
538892445749,Monmon,1197564,2250589,3176118,4697477,5345308,7116657,7983503,9414564,10589680,11128678,12007397,12518217,13129778,14221017,15565069,15839984,16225901,16238360,16877285,17079151,17336310,18030282,18593859,18993837,19145143,19665245,20564717,21640572,22016780,22667304
544368572767,ImperialGab,241982,264572,264572,266059,266138,1170119,2049052,2160362,2160362,2436985,2587622,3284370,3789908,3800705,3982750,4153805,4396063,4543831,4565407,4566274,4567798,4679033,4832070,4836210,4893771,4894685,4894685,4928821,4937516,4938094
546311799445,Vro,,,,,,,,56479,697382,893024,1034298,1036321,1273369,1277997,1456085,2146798,2691310,2708635,2969287,3190486,3215155,3215155,3215155,3215155,3215155,3215155,3215155,3554616,3748732,3762114
612856830731,Koeru,,,861508,900142,1492278,2544771,4492083,5175201,6853060,8240542,8259782,8259782,8650489,9897665,9916157,10269718,10278106,10570025,11616021,12092826,13710075,14913313,15173697,15177501,15843690,16102267,16116466,16560493,17900034,18363438
641462458896,Slewby,,443424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668412184126,Dashurain,304195,354248,874789,1157997,1496816,1849997,2186150,2550602,2724220,2733981,2972603,3312988,3330592,3330675,3701380,3930269,4842340,4872083,5102760,5665501,6499051,6616786,7439615,7454312,7751389,7877234,8193072,8197009,8503893,9240668
724108383922,Ezyll,903293,1402815,2253428,2552300,2566136,2930517,2950014,3851954,4894363,5270921,5277240,5516581,6029527,6582048,7060171,7200781,7736126,8622835,8662136,9296491,9372321,10483135,11391003,12143368,12523683,12529594,13364899,13375545,14025453,14898370
735519422844,kamukura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754487744511,Hihappy,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
798545517899,Kiryu,536637,1348629,1992520,2343379,3099447,4207742,4264858,4264858,4264858,4264858,4556087,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328,4560328
807165595027,Poob,223101,496952,615189,928144,957357,1032376,1039344,1040807,1040917,1572440,1943041,2251360,2798096,3128634,3425655,3740714,4149935,4776707,5161643,5485712,5839428,6711251,7552069,7880941,8106939,8110473,8110473,8120832,8394513,8653389
824734397731,Peachyie,576435,621309,1104109,2314219,2698499,2716243,2716244,2716244,2716244,2716244,2842103,2843936,2843936,3196897,3858664,4335297,4499794,4504826,4504826,4504826,4504826,5176913,5190341,6290606,7154959,8091832,8411827,9341551,10391751,11548343
847663589638,3mpa,878604,1246906,1587586,1607872,1942595,3224041,3604570,4332938,5567469,5641644,6026037,6034780,6704129,7126601,7492473,7869916,8243859,8255835,8777593,8807275,8807275,9098937,9107479,9110213,9204578,9206077,9562434,9569847,10142037,10184358
853006696421,Aleks,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,80826,82108,82108
955669136644,nico,154999,282830,485371,501517,1535489,1831254,2365360,2435228,2698072,2743739,3155709,3846642,4109108,4361525,4632573,4640554,4642590,4929890,5041936,5406115,5455828,5673085,6151455,6283850,6727162,6734182,6734182,6734182,6734182,6734182
957109645874,Kenichi,2173858,3762921,6013598,6732096,8910697,9708044,10449397,12060614,14137395,14665099,16402542,16427753,16427753,16427753,16817510,17737971,18486605,18764380,19270717,19948144,20302062,21033856,21519547,21796863,22474469,22686365,23288897,23583303,23589718,24804246
969567433751,Razia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982673722543,Kidux,,,,,,1050038,2467172,3720470,4758537,5605383,6648010,9993570,10624167,11712787,13151300,14296254,14908899,16206268,17638615,18529470,20272640,21154474,22305890,23518818,24534970,25486384,26286366,27141209,28319653,29606766
998857240103,AceTheKong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
