Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
120646083772,Sundance,,,,,,,,,,,,,,,529944,1189181,1235864,1550230,2970927,3908763,3914966,3918610,3918693,3918693,3918693,3918693,3928927,3932985,4176706,4179468,4188513
142400003396,tako,,,,,,,,,,,,,,,,,,,,,,,,557522,745824,919863,1414940,1417087,1794005,1800109,2071072
149791828482,Zaphkael,,,,,,,,,,,1178012,2314770,5588002,6302466,6764236,8877866,9973968,9983409,10775003,11067688,11596680,12117769,12404228,12406101,12406101,12406101,12406101,12406101,12406101,12406101,12406101
154489442704,Elk,,,,,,,,,,,,26652,27061,27061,27061,31893,232642,233068,233068,234883,234892,234894,234894,236662,412952,413889,413889,612060,623137,623137,623137
194402659685,Engineer,722219,1040883,1049788,1343431,2000701,2938841,3295420,4321484,4335626,5381150,5693156,5709848,5710025,5710025,5726672,5726758,5965678,5966173,5968865,5968906,6225843,6918078,7585375,7592218,7592229,7594664,7594685,7594685,7594685,7594685,7594685
209934098664,Night ,,,,,,,,,645086,805997,1004670,1008104,1384670,1818641,1823826,1823826,1823826,2085199,2245856,2248307,2248307,2750542,2768861,2768861,2768861,2768861,,,,,
228943440872,Bug,384850,1139033,2505358,2937397,3213929,3606866,4511429,4550475,5025373,5930459,6211532,7163652,7938392,8408753,8699632,9268553,10226229,10636293,11069347,11596580,12567907,13205945,14767541,15243155,15707837,16553924,17073726,17087298,17087933,17100235,17526159
233721553867,Rat,373439,833602,1480960,1906136,2568198,3663904,4683360,5465441,6252354,6573000,6837566,7069456,7392426,7667503,7858746,8257493,8511393,8867396,9048651,10185578,10459445,11174348,11446491,11810536,12405319,12739823,13156941,13351878,13817034,14029171,14293287
278161596958,Hikari,211580,394341,756165,1123803,1128762,1346199,1349379,1696020,1700826,1700826,1700826,1700826,1700826,1965260,1968469,1968469,1968469,1968469,1968469,2311971,2313650,3368409,4265168,4271119,4585436,4587108,4587108,4587108,4860612,5274437,5616308
286493463030,Kibs,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
296917936628,Ghost of Kyoto,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
347140925051,Rosee＿01,,,,,,,,162679,697520,1157071,1248034,1249507,1249507,1521071,1524366,1618851,1625543,1625753,1625753,1625753,2010117,2012162,2012162,2275772,2276934,2276934,2276934,2276934,,,
398008159336,WarJames,8893,17537,26426,26559,26559,39833,306166,581204,602388,870145,874131,1090878,1102837,1111949,1456130,1474705,1885902,1886790,2226418,2252061,2261736,2647630,2863787,2878600,2878659,2887399,2896435,2905167,3596542,3612837,3903070
