Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28
145447762932,Zidaneblueris,0,0,852019,856832,856836,856836,2411571,2413470,3164362,4022649,4024541,4024541,4024541,6581185,7468750,11274688,11280675,11280675,12985976,12988538,12988538,12988538,14773134,16561083,16563726,16563726,16563726,16563726
233721553867,Rat,677483,1522067,2398388,4141331,4895018,6380283,6382097,7246395,7247748,8050745,8820246,9466332,10275431,11128813,11534870,11996274,12412459,12870045,13313334,13754416,14193594,14966909,14967880,15387454,15812460,15816444,16544990,17276088
245445038119,Gao,281443,1316489,3486161,4838158,6520829,8055612,9658716,11137857,11613970,12500193,13424364,14386879,15182144,16046442,17513493,19132035,20062376,21894923,23071230,25104555,27758053,29252321,30032368,31053213,31792493,31809934,31814585,31814590
249277876784,Shiro,12152,13539,24992,25019,25019,25019,25019,25019,25019,25019,25019,36251,48128,48143,48143,59892,72261,1131591,2320334,2322118,3509013,8033222,8050307,8050326,8050326,8050326,8062539,8074456
257094297053,JooaoO,817376,7401250,17593168,18423988,22624315,32076834,39403523,43260082,44804407,47009692,53098355,55523191,69743741,69822091,70776721,70778796,72825481,76292283,78926823,80593247,82885197,83647168,86047426,88407251,90030452,92800102,94086316,94105315
316112867285,Nero,2642468,4446264,5291888,6155394,6989082,8723855,10472745,13054872,15644867,19081863,22717867,24686550,27288520,28899546,30126613,31870428,32789145,34581205,35385798,37062881,40314586,44611087,46360268,50502350,53126318,55641135,58735902,60914885
442527787114,goober,838843,1736664,3526907,4452936,4469927,6110066,6986011,7819425,10508811,12417935,14046647,14808133,15690688,16562722,17426419,19210220,20075437,21051551,23062950,23880708,24809385,25790617,27871328,28851389,29771113,30809470,31699137,32680291
474695464075,Vorpal,786531,2997590,3577722,4485218,5650853,6264093,6824099,7404326,8750597,8759071,9693695,11245618,13584014,14388943,15233395,16127333,16906318,17082451,18019194,21593988,22481638,23225847,24004640,24895331,25765466,25789181,27109245,27978192
534505179814,Ozu,10859,693297,2225643,4794607,5419926,5433902,5957808,6557705,7165005,7182049,8636146,8996969,9548982,9978840,11623321,13601422,13620697,15154110,15971243,17012159,18954318,18970877,20276959,20279127,20293985,20959425,20976055,20979109
534605476583,Shin,907162,3847671,5693377,7149445,8005559,9860986,11617888,14893928,14899052,16379210,19181067,20987552,22097580,23017991,24292012,24990754,24991849,26347124,28263894,30017431,31760160,33729993,35468129,40608557,40628355,41500453,43290713,45882328
538892445749,Monmon,1719097,3258882,4118393,4975516,5816069,6696612,7544924,10012907,10792852,12358441,15608243,17251928,18051497,19627070,20269676,21481030,21482934,22345105,24820351,26505534,27358527,28204416,29034709,29881750,30561373,31354766,33794453,34676553
568384667899,Sosuke Aizen,,0,454789,455853,942783,944028,2257505,3357394,4093085,5333303,6811556,8279648,9848262,12064633,12901569,14157527,15693098,16515449,18063944,19406539,19410646,20838809,21999560,23362477,23931122,25338486,25341099,26145163
569962531190,Frey,,,883124,1764443,1775264,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,1775275,,,,,,,,,
570624461170,Manhattan Kape ,0,774156,782930,1727358,2326506,2327199,2657699,2841773,3571387,3914741,3928838,4165010,4388760,4391784,5168597,5575432,5579843,5583635,5587353,5887492,8293358,11302904,11306683,11306683,11556993,11560246,13375041,13377073
583847371132,cesar ,966,1412861,3691022,4433280,6062657,6959689,7868257,11193899,11992565,13736686,14574302,14575308,15740609,19260535,23090921,28059906,28067713,28067713,28876698,29896497,29897744,30942135,30943448,32819168,33902029,35759465,35762912,36547630
612856830731,Koeru,832397,833933,2216904,2233632,3097997,3098999,3102333,3105803,4855075,6516146,8449503,9197062,10138541,11007937,11812118,11813864,12548040,12549598,15159784,15163705,16097889,18422334,18443633,20906429,21832426,21834434,22762644,23004564
619208765350,EmptyWorld,3435,21631,26339,1680162,2675021,3058614,3301814,3305408,4085100,4385157,5680561,7019750,7039455,7709007,10442542,11346028,12251737,13148114,13166079,13169637,13169641,13169641,13169641,13169641,13186150,13186186,13186186,13186186
641577749927,Dreadsoul,770912,774825,1616588,1621335,2354726,2355576,2371687,2371707,2697120,2717931,4507539,5179972,5598133,6414624,7217091,9533199,9536841,9536841,11093723,11791255,11792106,12644549,12645620,13180957,13181750,14065333,14066975,14066975
660216317491,Bingus,2476,301493,304919,1210445,2067957,3658280,3660222,3674212,3674234,4556493,4558441,4563480,5227273,5242102,5941916,5943438,6830999,6846520,7773343,7788647,7788664,7788664,8631001,8632399,8640939,8655653,8670017,8684694
705081600362,DaJuicyKEBAB,17901,871393,3282873,4985653,7216328,8748626,9917567,10573952,12974603,14760279,16189563,17701928,20496456,22681941,23394295,24677357,26144456,27625785,29751291,30504888,31121195,32628240,32630133,33304239,34749124,36157137,39283274,42828294
708085500369,Kieren,680699,1498028,2051623,2052916,2055620,3611627,3613528,4025441,4558419,4911306,5486690,6103291,7992736,7995117,8698943,9517880,9519166,10250232,11345924,13851668,14149167,14149465,14822140,15636665,16454182,18059390,18878745,18879659
715608314627,SeekingTheFairy,3020,403104,1173204,2923593,4461761,6126007,6938106,7821121,7839525,8704139,9164708,10400983,11577756,11900341,13312910,13330313,13343696,13875292,13876001,13893471,14527732,15828822,15833369,15836099,15838831,15838837,16295249,17103442
730813676500,Phil0s,1310764,2672841,4128917,5636757,6369418,7042035,8461326,9156395,10473842,11857184,13292747,14977046,15803575,17344803,18805273,19620131,20579758,21354225,22003406,22757385,23539602,24291401,25089285,25639476,26846694,28180941,28850795,28865671
831188844367,Rin,3013,1992808,3820829,5678739,5684549,8579419,9544949,11628220,13584162,14549121,15298051,18233961,21240852,23146345,25219960,31182676,33148266,36052999,40160753,40166918,40993666,40997787,42912570,44845985,44851614,47670344,49345506,51093582
841794248127,Zachary,1004202,1006054,1008927,2096167,3172042,4171580,5174723,5178711,6085514,6961198,7747617,9508748,10503026,11433896,12439224,13336834,14400978,14403234,15348351,17386334,17388828,18378724,18379968,18379968,18379968,19241862,19246845,20200924
911463437860,Asahi,14452,41534,988213,2835088,3504849,4411607,5090362,5988149,6012975,6042610,7666413,7697417,9234479,10141948,11856807,12746749,13555905,14440743,16064625,17016090,17949216,17971125,18001928,18017247,18032942,18057338,18072687,18087803
941810921167,Mizuki,,1503159,2341897,5141599,5933731,9146371,10009649,12446956,12453905,14985398,17078747,17941340,19699921,19717233,21715870,25650481,25687099,26710774,27658343,28622345,28626713,29662922,30713160,32609275,33407412,33818330,34857943,35848764
959858490532,Judaix,,,0,2724854,2732155,4630297,5511413,5512487,6469603,6471175,7405323,8302948,9213186,10028036,10912433,11888104,12775159,13729988,14750459,15707926,16691472,17671181,18595228,19623343,20669110,21743090,21745081,22812638
978788243853,Ev,822651,2206697,6190982,8153422,10190510,10196131,10196135,11544663,11550065,16464477,19347763,21062501,21907773,26566313,28493536,29428900,29430365,29433757,30358780,30360169,34172315,36980196,38664543,39556241,42421974,45257193,47924065,55838900
